No(line_no),주소(address),경도(longitute),위도(latitude),쓰레기통 형태(trash_type)
1,서울특별시 용산구 강변삼성아파트앞 횡단보도 버스정류장(03-299) ,126.9804724,37.53114116,일반쓰레기수거용
2,서울특별시 용산구 원효로4가 현대자동차써비스(원효로3가방면) 버스정류장(03-301) ,126.94526,37.53471374, 일반쓰레기수거용 
3,서울특별시 용산구 목월공원 앞 ,126.9804724,37.53114116, 일반쓰레기수거용 
4,서울특별시 용산구 원효로 3가 시범아파트 버스정류장(03-146) ,126.94526,37.53471374, 일반쓰레기수거용 
5,서울특별시 용산구 원효로1가 45 (유닉스빌딩앞 버스정류장(03-140) ,126.9689844,37.53986578, 일반쓰레기수거용 
6,서울특별시 용산구 원효로 3가 우리 이비인후과 앞(원효아파트앞횡단보도) ,126.94526,37.53471374, 일반쓰레기수거용 
7,서울특별시 용산구 원효로 2가 사거리 열린동물병원앞 ,126.94526,37.53471374, 일반쓰레기수거용 
8,서울특별시 용산구 (구)용산구청앞 사거리 (우리은행) 횡단보도 ,129.0571699,35.58648813, 일반쓰레기수거용 
9,서울특별시 용산구 용산경찰서 입구(GS25 편의점앞) ,126.9804724,37.53114116, 일반쓰레기수거용 
10,서울특별시 용산구 선린인터넷고등학교 입구( CU편의점앞 ) ,126.9804724,37.53114116, 일반쓰레기수거용 
11,서울특별시 용산구 (구)용산구청 보건분소앞 사거리(해오름공인중개사),129.0571699,35.58648813, 일반쓰레기수거용 
12,서울특별시 용산구 소화아동병원앞(택시정류장),126.9804724,37.53114116, 일반쓰레기수거용 
13,서울특별시 용산구 청파동(서계동방면) 버스정류장(03-126),126.9664327,37.55258491, 일반쓰레기수거용 
14,서울특별시 용산구 숙대입구역 청파동주민센터(세운할인마트앞)버스정류장(13-129),128.6131436,35.81515435, 일반쓰레기수거용 
15,서울특별시 용산구 숙대입구역 청파동주민센터버스정류장(03-128),128.6131436,35.81515435, 일반쓰레기수거용 
16,서울특별시 용산구 갈월동종합사회복지관 택시정류장,126.9715704,37.54493279, 일반쓰레기수거용 
17,서울특별시 용산구 용산고등학교 앞 사거리( 구두 수선앞),129.0571699,35.58648813, 일반쓰레기수거용 
18,서울특별시 용산구 스마일치과의원 건너편 버스정류장(03-203),126.9804724,37.53114116, 일반쓰레기수거용 
19,서울특별시 용산구 SC제일은행앞 버스정류장(03-201),126.9804724,37.53114116, 일반쓰레기수거용 
20,서울특별시 용산구 후암시장(삼강의원방면) 버스정류장(03-200),126.9804724,37.53114116, 일반쓰레기수거용 
21,서울특별시 용산구 후암삼거리 버스정류장(03-199) 클라라 잡화,126.4241385,37.75467623, 일반쓰레기수거용 
22,서울특별시 용산구 진흥빌딩 앞 마을버스정류장,126.9804724,37.53114116, 일반쓰레기수거용 
23,서울특별시 용산구 진흥빌딩 건너편 그랜드아파트 횡단보도앞,126.9804724,37.53114116, 일반쓰레기수거용 
24,서울특별시 용산구 원효로1가 선린교차로 현수막 거치대옆(남영지하차도입구),126.94526,37.53471374, 일반쓰레기수거용 
25,서울특별시 용산구 전자상가관광터미널(신용산역3번출구방면) 버스정류장(03-252 03-558),126.9804724,37.53114116, 일반쓰레기수거용 
26,서울특별시 용산구 용산전자상가 삼구빌딩 하나은행(원효대교북단방면) 버스정류장(03-138),126.9804724,37.53114116, 일반쓰레기수거용 
27,서울특별시 용산구 삼각지 고가 등기소 건너편 마을버스정류장(03-552),126.9804724,37.53114116, 일반쓰레기수거용 
28,서울특별시 용산구 (구)용산구청 보건분소 앞 횡단보도,126.9804724,37.53114116, 일반쓰레기수거용 
